date,pe_ratio
1975-01-01,6.379458
1975-01-02,6.3870616
1975-01-03,6.386051
1975-01-04,6.386051
1975-01-05,6.385201
1975-01-06,6.3849444
1975-01-07,6.384638
1975-01-08,6.384789
1975-01-09,6.390106
1975-01-10,6.3918858
1975-01-11,6.3918858
1975-01-12,6.3918896
1975-01-13,6.3793364
1975-01-14,6.3735995
1975-01-15,6.4043756
1975-01-16,6.4225225
1975-01-17,6.4354796
1975-01-18,6.4353905
1975-01-19,6.4354367
1975-01-20,6.4151464
1975-01-21,6.4530663
1975-01-22,6.45788
1975-01-23,6.5386424
1975-01-24,6.59151
1975-01-25,6.59151
1975-01-26,6.5914454
1975-01-27,6.692186
1975-01-28,6.7519994
1975-01-29,6.826079
1975-01-30,6.9258943
1975-01-31,7.0189342
1975-02-01,7.0182467
1975-02-02,7.0180297
1975-02-03,7.0092144
1975-02-04,6.8670053
1975-02-05,6.904691
1975-02-06,6.958255
1975-02-07,6.9689174
1975-02-08,6.9699826
1975-02-09,6.96733
1975-02-10,6.96997
1975-02-11,6.9872146
1975-02-12,7.0171924
1975-02-13,7.0313296
1975-02-14,7.029319
1975-02-15,7.029319
1975-02-16,7.02929
1975-02-17,7.0294156
1975-02-18,7.024972
1975-02-19,7.0582004
1975-02-20,7.0733624
1975-02-21,6.96403
1975-02-22,6.9637856
1975-02-23,6.9637723
1975-02-24,6.971476
1975-02-25,7.008648
1975-02-26,7.0116973
1975-02-27,7.024959
1975-02-28,7.0405374
1975-03-01,7.0402346
1975-03-02,7.0398917
1975-03-03,7.0464787
1975-03-04,7.0465484
1975-03-05,7.0605936
1975-03-06,7.0605383
1975-03-07,7.0692854
1975-03-08,7.069892
1975-03-09,7.069892
1975-03-10,7.086453
1975-03-11,7.0961266
1975-03-12,7.103999
1975-03-13,7.2270484
1975-03-14,7.2264104
1975-03-15,7.2262645
1975-03-16,7.2262645
1975-03-17,7.2342095
1975-03-18,7.226507
1975-03-19,7.2235084
1975-03-20,7.2250133
1975-03-21,7.216991
1975-03-22,7.2169905
1975-03-23,7.216737
1975-03-24,7.2205157
1975-03-25,7.2309747
1975-03-26,7.2398133
1975-03-27,7.232836
1975-03-28,7.2350483
1975-03-29,7.235106
1975-03-30,7.235138
1975-03-31,7.2289543
1975-04-01,7.2174196
1975-04-02,7.215964
1975-04-03,7.2133865
1975-04-04,7.229881
1975-04-05,7.230066
1975-04-06,7.23006
1975-04-07,7.2333503
1975-04-08,7.253531
1975-04-09,7.313136
1975-04-10,7.443881
1975-04-11,7.5301814
1975-04-12,7.5273824
1975-04-13,7.5272684
1975-04-14,7.533079
1975-04-15,7.651277
1975-04-16,7.738864
1975-04-17,7.8321013
1975-04-18,7.9787498
1975-04-19,7.979221
1975-04-20,7.9795084
1975-04-21,8.118482
1975-04-22,8.407999
1975-04-23,8.523218
1975-04-24,8.721867
1975-04-25,8.7698
1975-04-26,8.767157
1975-04-27,8.767326
1975-04-28,9.108169
1975-04-29,9.227882
1975-04-30,9.2468605
1975-05-01,9.256184
1975-05-02,9.2516365
1975-05-03,9.247396
1975-05-04,9.248366
1975-05-05,9.273749
1975-05-06,9.281736
1975-05-07,9.254516
1975-05-08,9.267519
1975-05-09,9.273361
1975-05-10,9.273361
1975-05-11,9.273327
1975-05-12,9.264284
1975-05-13,9.267029
1975-05-14,9.278659
1975-05-15,9.233064
1975-05-16,9.241164
1975-05-17,9.2410965
1975-05-18,9.241216
1975-05-19,9.25158
1975-05-20,9.252764
1975-05-21,9.339167
1975-05-22,9.42089
1975-05-23,9.42238
1975-05-24,9.4226265
1975-05-25,9.4226265
1975-05-26,9.422536
1975-05-27,9.425499
1975-05-28,9.418379
1975-05-29,9.534923
1975-05-30,9.567986
1975-05-31,9.56805
1975-06-01,9.56805
1975-06-02,9.569864
1975-06-03,9.570627
1975-06-04,9.567375
1975-06-05,9.586617
1975-06-06,9.585745
1975-06-07,9.585745
1975-06-08,9.585745
1975-06-09,9.582651
1975-06-10,9.583029
1975-06-11,9.574486
1975-06-12,9.576609
1975-06-13,9.575422
1975-06-14,9.574911
1975-06-15,9.573159
1975-06-16,9.57429
1975-06-17,9.573828
